City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Aykhal,RU,2022-01-09 23:51:49,66.0,111.5,0.41,94,100,21.34
253,Changde,CN,2022-01-09 23:51:49,29.0464,111.6783,45.52,84,100,4.27
254,Byron Bay,AU,2022-01-09 23:51:49,-28.65,153.6167,80.71,65,17,8.55
255,Apomu,NG,2022-01-09 23:51:50,7.3333,4.1833,72.5,73,12,0.94
256,Savannakhet,LA,2022-01-09 23:51:50,16.566,104.751,63.1,92,7,3.18
257,Rabaul,PG,2022-01-09 23:51:51,-4.1967,152.1721,82.0,71,100,8.61
258,Geraldton,AU,2022-01-09 23:51:51,-28.7667,114.6,72.12,37,0,16.11
259,Dryden,CA,2022-01-09 23:51:23,49.7833,-92.7503,-14.51,70,0,12.66
260,Zhigansk,RU,2022-01-09 23:51:52,66.7697,123.3711,-28.84,94,88,20.49
261,Port Blair,IN,2022-01-09 23:51:52,11.6667,92.75,77.99,74,86,6.93
262,Coquimbo,CL,2022-01-09 23:51:53,-29.9533,-71.3436,67.73,68,0,11.5
263,Paamiut,GL,2022-01-09 23:51:53,61.994,-49.6678,13.08,79,100,26.6
264,Miri,MY,2022-01-09 23:51:53,4.4148,114.0089,77.14,94,20,5.75
265,Galesong,ID,2022-01-09 23:51:54,-5.3166,119.3661,77.02,78,100,5.97
266,Kashan,IR,2022-01-09 23:51:54,33.9831,51.4364,36.99,60,0,2.3
267,Kamenka,RU,2022-01-09 23:51:55,51.3223,42.7678,23.76,83,100,14.81
268,Nome,US,2022-01-09 23:51:55,64.5011,-165.4064,5.07,51,0,29.93
269,Voh,NC,2022-01-09 23:51:56,-20.9667,164.7,85.37,65,26,5.57
270,Goundam,ML,2022-01-09 23:52:56,16.4145,-3.6708,62.76,13,95,8.16
271,Henties Bay,NA,2022-01-09 23:52:57,-22.116,14.2845,63.86,94,46,2.71
272,Bam,IR,2022-01-09 23:52:57,29.106,58.357,45.25,35,0,0.56
273,Horsham,GB,2022-01-09 23:52:58,51.064,-0.3272,41.97,78,89,1.14
274,Zhuanghe,CN,2022-01-09 23:52:58,39.7008,122.9911,27.97,45,100,4.23
275,Talaya,RU,2022-01-09 23:52:59,61.3833,152.75,-13.47,99,100,2.15
276,Yarmouth,US,2022-01-09 23:52:59,41.7057,-70.2286,49.14,86,100,18.01
277,Marystown,CA,2022-01-09 23:53:00,47.1666,-55.1483,32.86,100,97,5.01
278,Itaituba,BR,2022-01-09 23:53:00,-4.2761,-55.9836,72.28,98,100,1.48
279,Te Anau,NZ,2022-01-09 23:53:01,-45.4167,167.7167,70.29,63,76,4.68
280,Esperance,AU,2022-01-09 23:51:20,-33.8667,121.9,64.24,64,100,16.04
281,Komsomolskiy,UZ,2022-01-09 23:53:02,40.4272,71.7189,39.92,60,75,2.3
282,Pevek,RU,2022-01-09 23:53:02,69.7008,170.3133,-15.97,100,89,1.1
283,Novyy Urengoy,RU,2022-01-09 23:53:03,66.0833,76.6333,-12.89,98,96,8.61
284,Kutum,SD,2022-01-09 23:53:03,14.2,24.6667,68.36,26,63,12.46
285,Raga,SS,2022-01-09 23:53:04,8.4596,25.678,77.56,30,70,2.8
286,Catamarca,AR,2022-01-09 23:53:04,-28.4696,-65.7852,86.05,37,11,7.85
287,Noyabrsk,RU,2022-01-09 23:53:05,63.1994,75.4507,-6.9,97,78,12.46
288,Miles City,US,2022-01-09 23:53:05,46.4083,-105.8406,12.63,89,23,3.06
289,Ostrovnoy,RU,2022-01-09 23:53:05,68.0531,39.5131,27.43,68,100,20.92
290,Clyde River,CA,2022-01-09 23:53:06,70.4692,-68.5914,-3.77,77,100,27.63
291,Chifeng,CN,2022-01-09 23:53:07,42.2683,118.9636,10.13,56,82,2.57
292,Tazovskiy,RU,2022-01-09 23:53:07,67.4667,78.7,-8.77,97,100,11.07
