City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
550,Richards Bay,ZA,74.03,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
552,Singleton,AU,78.35,light rain,-32.5667,151.1833,Quest Singleton
556,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
558,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
559,Weligama,LK,76.8,broken clouds,5.9667,80.4167,Weligama Bay Resort
562,Diffa,NE,70.21,few clouds,13.3154,12.6113,ProDAF/Diffa
564,Champoton,MX,87.12,clear sky,19.35,-90.7167,HOTEL Posada La Regia
565,Lima,PE,73.65,broken clouds,-12.0432,-77.0282,Hotel Kamana
569,Camapua,BR,76.42,broken clouds,-19.5314,-54.0439,Comercial Estrela
572,Lat Yao,TH,73.51,broken clouds,15.751,99.7893,โรงแรมสอระ
573,Kinango,KE,75.63,overcast clouds,-4.1372,39.3153,Legacy Hotel
576,Paita,PE,84.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
579,Conakry,GN,77.36,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
581,Harper,LR,79.09,overcast clouds,4.375,-7.7169,Screensaver
582,Porto Nacional,BR,86.0,moderate rain,-10.7081,-48.4172,Vila Real Hotel
583,Meulaboh,ID,75.49,broken clouds,4.1363,96.1285,Kost Pria
584,Saquarema,BR,77.14,moderate rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
585,Gorontalo,ID,72.3,heavy intensity rain,0.5412,123.0595,Maqna Hotel by Prasanthi
587,Gigmoto,PH,77.86,overcast clouds,13.7796,124.39,Cj's Travellers Inn
588,San Policarpo,PH,78.35,light rain,12.1791,125.5072,Agapita M. Nicart
590,Ambilobe,MG,75.16,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
597,Hermosillo,MX,70.84,few clouds,29.0667,-110.9667,ibis Hermosillo
600,Tambura,SS,71.47,overcast clouds,5.6,27.4667,Rikito Lodge
601,Kencong,ID,75.06,light rain,-8.2833,113.3667,GUBUK SUGIANTO
603,San Patricio,US,86.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
604,Byron Bay,AU,75.15,scattered clouds,-28.65,153.6167,Backpackers Inn
607,Piacabucu,BR,80.19,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
611,Singkawang,ID,72.88,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
613,Port-Gentil,GA,81.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
615,Oranjestad,AW,78.67,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
616,Texarkana,US,73.9,overcast clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
617,Maningrida,AU,81.57,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
620,Aquiraz,BR,83.17,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
621,Daru,PG,78.53,overcast clouds,-9.0763,143.2092,Daru Lodge
623,Pamanukan,ID,76.01,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
628,Moindou,NC,80.55,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
629,Florianopolis,BR,75.7,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
635,Mapimi,MX,84.74,scattered clouds,25.8167,-103.85,Propiedad Lldm
638,Acapulco,MX,85.91,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
639,Luwuk,ID,76.23,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
640,Bogande,BF,75.61,clear sky,12.9714,-0.1436,Auberge Wendkouni
643,Parana,AR,84.29,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
650,Ballina,AU,73.36,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
653,Auki,SB,82.9,overcast clouds,-8.7676,160.7034,Auki Motel
654,Bom Jesus Da Lapa,BR,77.77,overcast clouds,-13.255,-43.4181,Hotel das Nações
655,Paracatu,BR,71.82,light rain,-17.2222,-46.8747,Hotel Paracatu Plaza
660,Redwater,US,79.09,overcast clouds,33.3582,-94.2544,Witterstaetter Properties
662,Saint Marys,US,77.05,clear sky,30.7305,-81.5465,Spencer House Inn
